Year,Month,Day,Time,Lat,Lon,Depth,Mag,Region,Timestamp
2019,11,15,05:06:10,0.6648,122.5998,94,4.2,"2km NW of Sidomulyo, Indonesia",1573794370
2019,11,14,21:39:55,1.1234,125.1415,35,4.6,"32km SE of Tondano, Indonesia",1573767595
2019,11,14,14:40:21,-1.2338,120.8435,10,4.6,"20km NNE of Poso, Indonesia",1573742421
2019,11,13,02:20:09,0.7951,121.9485,64.5,4.4,"46km SE of Bunobogu, Indonesia",1573611609
2019,11,12,02:48:26,0.9653,123.609,29.8,4.7,"11km NE of Pimpi, Indonesia",1573526906
2019,11,09,05:37:38,0.0539,123.8943,104.6,4.3,"38km SSW of Molibagu, Indonesia",1573277858
2019,11,03,03:32:56,2.1325,121.7259,549.4,4.4,"112km NNE of Kali, Indonesia",1572751976
2019,10,29,07:29:05,1.7974,122.9111,437.8,4.3,"106km NNW of Boroko, Indonesia",1572334145
2019,10,29,06:45:31,-0.0309,123.1042,145.1,4.9,"47km SSW of Bilungala, Indonesia",1572331531
2019,10,28,02:51:47,0.0741,122.9768,167.7,4,"43km SW of Bilungala, Indonesia",1572231107
2019,10,25,17:11:32,-0.1115,124.7249,62,4.3,"95km SSE of Lolayan, Indonesia",1572023492
2019,10,24,20:49:22,1.2613,125.687,88.9,4.2,"59km ESE of Bitung, Indonesia",1571950162
2019,10,24,13:38:16,1.1847,124.2015,241,5.6,"22km NNW of Poigar, Indonesia",1571924296
2019,10,23,12:53:25,0.4494,120.9639,94,4,"61km SE of Tinabogan, Indonesia",1571835205
2019,10,19,17:11:36,-0.0684,123.3447,117.9,4.2,"51km SSE of Bilungala, Indonesia",1571505096
2019,10,13,19:35:12,-0.1053,124.7668,30,5.1,"97km SSE of Lolayan, Indonesia",1570995312
2019,10,11,18:22:47,0.3144,123.4532,216.8,4,"27km ESE of Bilungala, Indonesia",1570818167
2019,10,11,15:01:50,-4.7161,125.2902,482.8,4.7,"171km SW of Leksula, Indonesia",1570806110
2019,10,04,00:45:58,1.3842,125.6967,57.9,4.7,"57km E of Bitung, Indonesia",1570149958
2019,10,03,01:13:12,-2.4733,119.5005,35,4.4,"1km ENE of Kalumpang, Indonesia",1570065192
